ticker,entry_date,exit_date,entry_price,exit_price,return,bars_held,exit_reason,cum_return,equity
NUAI,2024-01-02 14:30:00,2024-01-31 14:30:00,10.609999656677246,10.779999732971191,0.013991598645746617,20,horizon_limit,1.0139915986457466,10139.915986457467
BOWN,2024-01-02 14:30:00,2024-01-19 14:30:00,10.31999969482422,10.351894787903323,0.0010854317567181582,12,stop_loss,1.0150922173279622,10150.922173279621
MKDW,2024-01-02 14:30:00,2024-01-29 14:30:00,10.5,11.275967743618382,0.07175496039037021,18,stop_loss,1.0879301191749031,10879.301191749031
ISRLU,2024-01-02 14:30:00,2024-01-08 14:30:00,10.75,10.770342298607547,-0.00011047587417378768,4,stop_loss,1.0878099291439474,10878.099291439474
QETAU,2024-01-02 14:30:00,2024-01-31 14:30:00,10.1899995803833,10.279999732971191,0.006815548182688813,20,horizon_limit,1.0952239501296352,10952.239501296352
CCGWW,2024-01-02 14:30:00,2024-01-31 14:30:00,0.0560000017285347,0.0689999982714653,0.22967973481029547,20,horizon_limit,1.346774696553294,13467.74696553294
COOT,2024-01-02 14:30:00,2024-01-19 14:30:00,11.550000190734863,11.581320292605113,0.0007072764043662971,12,stop_loss,1.3477272385181638,13477.272385181637
CNCK,2024-01-02 14:30:00,2024-01-08 14:30:00,10.220000267028809,10.220513056660074,-0.0019489251906632532,4,stop_loss,1.3451006189528727,13451.006189528727
AIRJ,2024-01-03 14:30:00,2024-01-05 14:30:00,10.739999771118164,10.751913094391696,-0.0008919693860627298,2,stop_loss,1.3439008303795927,13439.008303795927
KVAC,2024-01-04 14:30:00,2024-02-02 14:30:00,10.369999885559082,10.390000343322754,-7.417096732087458e-05,20,horizon_limit,1.3438011519550201,13438.011519550202
ISRLU,2024-01-08 14:30:00,2024-02-06 14:30:00,10.770000457763672,11.179123880195657,0.035912380441605496,20,stop_loss,1.3920602501618966,13920.602501618967
QETA,2024-01-08 14:30:00,2024-01-23 14:30:00,10.130000114440918,10.149965567088403,-3.201663548468847e-05,10,stop_loss,1.3920156810762945,13920.156810762945
